,threatInfo.threatId,threatInfo.threatName,threatInfo.classification,threatInfo.confidenceLevel,threatInfo.analystVerdict,threatInfo.createdAt,threatInfo.identifiedAt,threatInfo.updatedAt,indicatorList,indicatorListString,threatInfo.detectionType,action,threatInfo.sha1,engine
6029,1809061095163951159,ANONYMIZED,Malware,suspicious,false_positive,2023-11-02T00:41:27.906783Z,2023-11-02T00:41:26.848000Z,2023-11-02T02:07:56.722335Z,"[796, 427, 674, 171, 434]",171 427 434 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
11710,1925193126404833746,ANONYMIZED,Malware,malicious,true_positive,2024-04-10T06:15:04.845329Z,2024-04-10T06:14:48.248000Z,2024-04-10T06:33:21.778118Z,"[32, 29, 33, 24, 23]",23 24 29 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
1839,1665296222500446390,ANONYMIZED,Malware,suspicious,false_positive,2023-04-17T16:06:19.574267Z,2023-04-17T16:06:16.581000Z,2023-04-17T20:02:55.435939Z,"[62, 171, 674]",62 171 674,dynamic,,ANONYMIZED,"Documents, Scripts"
12401,1932245549669319549,ANONYMIZED,Malware,malicious,true_positive,2024-04-19T23:46:59.212326Z,2024-04-19T23:46:58.841000Z,2024-04-20T02:52:36.917743Z,"[32, 33, 24, 10, 6]",6 10 24 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
3827,1716549744121126765,ANONYMIZED,Malware,suspicious,true_positive,2023-06-27T09:17:55.474659Z,2023-06-27T09:17:54.953000Z,2023-06-27T10:04:52.888833Z,"[674, 171, 121, 796, 427, 434, 137]",121 137 171 427 434 674 796,dynamic,quarantine,ANONYMIZED,"Documents, Scripts"
6077,1809929874460365220,ANONYMIZED,Malware,suspicious,false_positive,2023-11-03T05:27:34.464630Z,2023-11-03T05:27:32.739000Z,2023-11-03T05:46:17.940072Z,"[145, 359, 724, 769, 768, 114, 62, 427, 269, 674, 137, 171]",62 114 137 145 171 269 359 427 674 724 768 769,dynamic,,ANONYMIZED,"Documents, Scripts"
2344,1681124732767697374,ANONYMIZED,Rootkit,suspicious,false_positive,2023-05-09T12:14:45.037269Z,2023-05-09T12:14:44.589661Z,2023-05-09T12:25:19.458019Z,[937],937,dynamic,,ANONYMIZED,Application Control
12399,1931972441080058536,ANONYMIZED,Malware,suspicious,false_positive,2024-04-19T14:44:22.131964Z,2024-04-19T14:44:21.830000Z,2024-04-19T15:49:15.085279Z,"[796, 427, 674, 434, 171, 725, 1273]",171 427 434 674 725 796 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
7782,1860858614549530219,ANONYMIZED,Malware,suspicious,false_positive,2024-01-12T11:53:53.387489Z,2024-01-12T11:53:53.036000Z,2024-01-12T12:08:52.255465Z,"[796, 427, 674, 171, 434, 1273]",171 427 434 674 796 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
1579,1655555882171227502,ANONYMIZED,Malware,suspicious,false_positive,2023-04-04T05:34:00.525883Z,2023-04-04T05:34:00.061000Z,2023-04-04T06:59:13.494723Z,"[368, 437, 293]",293 368 437,dynamic,,ANONYMIZED,Behavioral AI
11112,1918646035978023082,ANONYMIZED,Malware,malicious,true_positive,2024-04-01T05:27:10.847634Z,2024-04-01T05:26:48.731000Z,2024-04-01T05:29:38.703622Z,"[1, 31, 32, 29, 33, 24, 15, 6]",1 6 15 24 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
9509,1891205845357138347,ANONYMIZED,Malware,malicious,true_positive,2024-02-23T08:48:25.218174Z,2024-02-23T08:48:23.684000Z,2024-02-23T09:57:47.259009Z,"[41, 1, 32, 33]",1 32 33 41,static,quarantine,ANONYMIZED,On-Write Static AI
12782,1936639198657551370,ANONYMIZED,Malware,suspicious,false_positive,2024-04-26T01:16:22.986455Z,2024-04-26T01:16:22.455000Z,2024-04-26T03:27:54.957464Z,"[796, 427, 171, 674]",171 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
7433,1855812323151248576,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T12:47:48.582244Z,2024-01-05T12:40:14.229000Z,2024-01-05T13:15:11.323013Z,"[1, 31, 30, 29, 33, 12]",1 12 29 30 31 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
399,1901916151584282188,ANONYMIZED,Malware,malicious,true_positive,2024-03-09T03:27:53.214081Z,2024-03-09T03:27:52.734000Z,2024-03-09T03:42:53.019230Z,"[29, 15, 12]",12 15 29,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
2342,1681121596594201782,ANONYMIZED,Rootkit,suspicious,false_positive,2023-05-09T12:08:31.176713Z,2023-05-09T12:08:30.717807Z,2023-05-09T12:25:19.472025Z,[937],937,dynamic,,ANONYMIZED,Application Control
2450,1682640445039359551,ANONYMIZED,Malware,suspicious,false_positive,2023-05-11T14:26:12.020744Z,2023-05-11T14:26:11.933000Z,2023-05-11T16:21:32.119744Z,"[171, 796, 311, 427]",171 311 427 796,dynamic,,ANONYMIZED,"Documents, Scripts"
12769,1936305501529078365,ANONYMIZED,Malware,malicious,true_positive,2024-04-25T14:13:23.188969Z,2024-04-25T14:13:22.069000Z,2024-04-25T14:15:02.520121Z,"[25, 24, 23, 6]",6 23 24 25,static,quarantine,ANONYMIZED,On-Write Static AI
173,1898450941813770836,ANONYMIZED,Malware,suspicious,false_positive,2024-03-04T08:43:08.019100Z,2024-03-04T08:42:26.558000Z,2024-03-04T10:13:59.183857Z,"[1273, 797, 800, 427, 171]",171 427 797 800 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
6208,1814892036246864660,ANONYMIZED,Malware,suspicious,false_positive,2023-11-10T01:46:30.251129Z,2023-11-10T01:46:29.123000Z,2023-11-10T03:23:11.018153Z,"[768, 114, 62, 427, 153, 126, 269, 674, 171, 137]",62 114 126 137 153 171 269 427 674 768,dynamic,,ANONYMIZED,"Documents, Scripts"
3746,1712972057948719743,ANONYMIZED,Virus,suspicious,false_positive,2023-06-22T10:49:42.046159Z,2023-06-22T10:49:41.705000Z,2023-06-22T11:05:51.511450Z,[24],24,static,,ANONYMIZED,On-Write Static AI - Suspicious
7640,1858391540535670634,ANONYMIZED,Malware,malicious,true_positive,2024-01-09T02:12:15.250604Z,2024-01-02T03:08:53.903000Z,2024-01-09T02:48:54.882218Z,"[1, 33, 24, 15]",1 15 24 33,static,quarantine,ANONYMIZED,On-Write Static AI
12378,1931736626956086706,ANONYMIZED,Malware,suspicious,false_positive,2024-04-19T06:55:50.896969Z,2024-04-19T06:55:45.763000Z,2024-04-19T08:16:43.973300Z,"[171, 437, 43]",43 171 437,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
9784,1908540748643621046,ANONYMIZED,Malware,suspicious,false_positive,2024-03-18T06:49:46.723223Z,2024-03-18T06:49:45.407000Z,2024-03-18T10:35:51.271216Z,"[126, 796, 427, 171]",126 171 427 796,dynamic,,ANONYMIZED,"Documents, Scripts"
3651,1710865641555754168,ANONYMIZED,Malware,suspicious,true_positive,2023-06-19T13:04:37.644885Z,2023-06-19T13:04:37.455000Z,2023-06-19T13:08:20.787342Z,"[41, 32, 29, 33]",29 32 33 41,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
311,1900464945001290419,ANONYMIZED,Malware,suspicious,false_positive,2024-03-07T03:24:35.907756Z,2024-03-07T03:24:34.560000Z,2024-03-07T04:45:07.421130Z,"[145, 359, 724, 769, 768, 114, 62, 427, 146, 1303, 269, 674, 171, 725, 126, 1273]",62 114 126 145 146 171 269 359 427 674 724 725 768 769 1273 1303,dynamic,,ANONYMIZED,"Documents, Scripts"
10415,1913601431600968163,ANONYMIZED,Malware,suspicious,true_positive,2024-03-25T06:24:27.143419Z,2024-03-25T06:24:25.733000Z,2024-03-25T09:12:33.101013Z,"[32, 33, 24, 7, 6, 2]",2 6 7 24 32 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
8064,1866621516135370275,ANONYMIZED,Malware,malicious,false_positive,2024-01-20T10:43:44.787099Z,2024-01-20T10:43:38.427000Z,2024-01-20T11:37:18.570066Z,"[83, 266, 293]",83 266 293,dynamic,quarantine,ANONYMIZED,Behavioral AI
6835,1908656094243955034,ANONYMIZED,Malware,suspicious,false_positive,2024-03-18T10:38:56.989764Z,2024-03-18T10:38:55.420000Z,2024-03-18T22:25:49.508746Z,[68],68,dynamic,,ANONYMIZED,Behavioral AI
11995,1929126165695141807,ANONYMIZED,Malware,malicious,false_positive,2024-04-15T16:29:19.666257Z,2024-04-15T16:29:14.699000Z,2024-04-16T03:24:49.299649Z,"[32, 29, 33, 12]",12 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
4201,1724235268935051021,ANONYMIZED,Malware,suspicious,false_positive,2023-07-07T23:47:41.427101Z,2023-07-07T23:47:41.317000Z,2023-07-08T00:10:11.679689Z,"[1, 31]",1 31,static,,ANONYMIZED,On-Write Static AI - Suspicious
1453,1650758143234917793,ANONYMIZED,Virus,suspicious,true_positive,2023-03-28T14:41:45.474515Z,2023-03-28T14:41:45.226000Z,2023-03-28T15:22:58.119883Z,"[24, 12]",12 24,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
3509,1706547203419819043,ANONYMIZED,Malware,suspicious,false_positive,2023-06-13T14:04:39.703981Z,2023-06-13T14:04:39.412000Z,2023-06-13T14:39:07.295374Z,"[1, 33, 24, 6]",1 6 24 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
772,1635557134810424138,ANONYMIZED,Malware,suspicious,false_positive,2023-03-07T15:20:04.057428Z,2023-03-07T15:20:00.616000Z,2023-03-07T18:44:18.155375Z,"[674, 137, 62, 721, 434, 171, 427, 437]",62 137 171 427 434 437 674 721,dynamic,,ANONYMIZED,Behavioral AI
2631,1686153158090855668,ANONYMIZED,Malware,suspicious,false_positive,2023-05-16T10:45:20.047376Z,2023-05-16T10:45:19.033000Z,2023-05-16T10:50:11.580119Z,"[171, 796, 799, 121, 427]",121 171 427 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
4688,1741689863117132745,ANONYMIZED,Malware,suspicious,false_positive,2023-08-01T01:46:51.187508Z,2023-08-01T01:46:50.473000Z,2023-08-01T02:37:57.666898Z,"[171, 796, 427, 674, 269]",171 269 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
5364,1776666901834323145,ANONYMIZED,Infostealer,suspicious,false_positive,2023-09-18T07:59:59.135032Z,2023-09-18T07:59:57.980000Z,2023-09-18T08:24:06.714559Z,"[796, 427, 674, 171]",171 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
8697,1876862394788912513,ANONYMIZED,Malware,malicious,true_positive,2024-02-03T13:50:32.666573Z,2024-02-03T13:50:31.560000Z,2024-02-03T14:47:36.089351Z,"[1, 29, 12]",1 12 29,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
8278,1870143525955542414,ANONYMIZED,Malware,suspicious,false_positive,2024-01-25T07:21:21.080311Z,2024-01-25T07:21:20.580000Z,2024-01-25T08:50:42.639131Z,"[1, 31, 29, 6]",1 6 29 31,static,,ANONYMIZED,On-Write Static AI - Suspicious
135,1898264808706300147,ANONYMIZED,Malware,malicious,true_positive,2024-03-04T02:33:19.224174Z,2024-03-04T02:33:14.566000Z,2024-03-04T03:14:01.432315Z,"[1, 32, 29, 33, 12]",1 12 29 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
11572,1924455975406601647,ANONYMIZED,Malware,malicious,false_positive,2024-04-09T05:50:29.597880Z,2024-04-09T05:50:20.239000Z,2024-04-09T07:22:58.947631Z,"[625, 199, 198, 294, 1121, 455, 313, 427, 1273, 1271, 437]",198 199 294 313 427 437 455 625 1121 1271 1273,dynamic,unquarantine,ANONYMIZED,Behavioral AI
8406,1873155923970014842,ANONYMIZED,Malware,suspicious,false_positive,2024-01-29T11:06:26.913487Z,2024-01-29T10:42:24.137000Z,2024-01-29T11:18:13.933774Z,"[29, 12]",12 29,static,,ANONYMIZED,On-Write Static AI - Suspicious
1795,1662870655978384820,ANONYMIZED,Generic.Heuristic,suspicious,false_positive,2023-04-14T07:47:09.513765Z,2023-04-14T07:46:26.598000Z,2023-04-14T07:59:53.730085Z,"[1, 31, 29, 21, 12]",1 12 21 29 31,static,,ANONYMIZED,On-Write Static AI - Suspicious
11760,1925930808107900594,ANONYMIZED,Malware,malicious,true_positive,2024-04-11T06:40:43.357268Z,2024-04-11T06:40:41.615000Z,2024-04-11T06:59:07.732432Z,"[29, 12]",12 29,static,quarantine,ANONYMIZED,On-Write Static AI
8104,1868148704083547365,ANONYMIZED,Malware,suspicious,false_positive,2024-01-22T13:17:59.787005Z,2024-01-22T13:17:57.560000Z,2024-01-22T14:29:43.779515Z,"[1, 29, 12]",1 12 29,static,,ANONYMIZED,On-Write Static AI - Suspicious
7237,1855517942896114773,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T03:02:55.718814Z,2024-01-05T02:55:01.611000Z,2024-01-05T03:39:19.493119Z,"[1, 24, 15, 6, 4]",1 4 6 15 24,static,,ANONYMIZED,On-Write Static AI - Suspicious
10286,1911267076910551530,ANONYMIZED,Virus,malicious,true_positive,2024-03-22T01:06:30.379343Z,2024-03-22T01:06:28.812000Z,2024-03-22T01:13:27.136447Z,"[24, 23]",23 24,static,quarantine,ANONYMIZED,On-Write Static AI
5130,1767398994577022679,ANONYMIZED,Malware,suspicious,true_positive,2023-09-05T13:06:18.494415Z,2023-09-05T13:06:16.756000Z,2023-09-05T13:14:08.824078Z,"[1, 31, 30, 29, 12]",1 12 29 30 31,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
7868,1863785024979209799,ANONYMIZED,Virus,malicious,true_positive,2024-01-16T12:48:08.700734Z,2024-01-16T12:47:02.200000Z,2024-01-16T13:04:21.808965Z,"[24, 12]",12 24,static,quarantine,ANONYMIZED,On-Write Static AI
2512,1683914333288813187,ANONYMIZED,Malware,suspicious,false_positive,2023-05-13T08:37:11.333251Z,2023-05-13T08:37:11.188000Z,2023-05-13T09:10:07.338025Z,[43],43,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
3578,1709318884407579274,ANONYMIZED,Virus,suspicious,true_positive,2023-06-17T09:51:29.825308Z,2023-06-17T09:51:29.607000Z,2023-06-17T11:41:02.827962Z,"[24, 23, 15, 12]",12 15 23 24,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
1114,1644702725580065018,ANONYMIZED,Malware,suspicious,false_positive,2023-03-20T06:10:43.437475Z,2023-03-20T06:10:39.251000Z,2023-03-20T06:14:06.857770Z,"[121, 796, 799, 427]",121 427 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
8572,1874990242757529849,ANONYMIZED,Malware,malicious,false_positive,2024-01-31T23:50:54.751765Z,2024-01-31T23:50:54.279000Z,2024-02-01T01:56:08.724822Z,"[877, 264, 294, 427]",264 294 427 877,dynamic,unquarantine,ANONYMIZED,Anti Exploitation / Fileless
379,1901588722202623583,ANONYMIZED,Virus,malicious,true_positive,2024-03-08T16:37:20.590696Z,2024-03-08T16:37:20.558000Z,2024-03-08T16:40:41.312935Z,[12],12,static,quarantine,ANONYMIZED,On-Write Static AI
10264,1910897802663324277,ANONYMIZED,Application Control,suspicious,false_positive,2024-03-21T12:52:49.457925Z,2024-03-21T12:52:44.900744Z,2024-03-21T12:59:22.252349Z,[688],688,dynamic,unquarantine,ANONYMIZED,Application Control
6170,1813602883670581181,ANONYMIZED,Malware,suspicious,false_positive,2023-11-08T07:05:11.288246Z,2023-11-08T07:05:06.839000Z,2023-11-08T08:46:30.298380Z,"[145, 62, 114, 359, 427, 266, 126, 674, 171]",62 114 126 145 171 266 359 427 674,dynamic,,ANONYMIZED,"Documents, Scripts"
1655,1657379396045290305,ANONYMIZED,Malware,suspicious,false_positive,2023-04-06T17:57:00.316522Z,2023-04-06T17:56:59.370000Z,2023-04-06T17:57:42.250595Z,"[437, 121, 796, 427, 674, 171, 434]",121 171 427 434 437 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
2308,1680402470852559609,ANONYMIZED,Malware,suspicious,false_positive,2023-05-08T12:19:44.706243Z,2023-05-08T12:19:44.548000Z,2023-05-08T13:34:14.174231Z,"[437, 796, 427, 674, 171, 434]",171 427 434 437 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
1482,1651456105317037585,ANONYMIZED,Malware,suspicious,true_positive,2023-03-29T13:48:29.037326Z,2023-03-29T13:48:28.798000Z,2023-03-30T09:08:17.710831Z,"[1, 31, 32, 29, 33, 19, 7]",1 7 19 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
385,1901858468795013752,ANONYMIZED,Virus,malicious,true_positive,2024-03-09T01:33:16.890227Z,2024-03-09T01:33:00.597000Z,2024-03-09T02:17:32.842319Z,"[24, 23, 15]",15 23 24,static,quarantine,ANONYMIZED,On-Write Static AI
11650,1924675338755808444,ANONYMIZED,Malware,suspicious,true_positive,2024-04-09T13:06:19.736719Z,2024-04-09T13:04:24.652000Z,2024-04-09T13:54:22.752217Z,"[1, 31, 6]",1 6 31,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
10714,1915828758785997103,ANONYMIZED,Malware,malicious,true_positive,2024-03-28T08:09:45.234729Z,2024-03-28T08:08:06.783000Z,2024-03-28T08:39:19.718258Z,"[43, 1273]",43 1273,dynamic,quarantine,ANONYMIZED,SentinelOne Cloud
2337,1681082042762430702,ANONYMIZED,Malware,suspicious,false_positive,2023-05-09T10:49:55.992389Z,2023-05-09T10:49:55.051000Z,2023-05-09T11:50:43.966165Z,"[294, 121, 796, 427, 171, 674]",121 171 294 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
2325,1680930319865332282,ANONYMIZED,Malware,suspicious,false_positive,2023-05-09T05:48:29.208400Z,2023-05-09T05:48:27.982000Z,2023-05-09T06:10:39.940138Z,"[769, 114, 62, 427, 674, 171, 126, 269, 137]",62 114 126 137 171 269 427 674 769,dynamic,,ANONYMIZED,"Documents, Scripts"
4807,1746577448219303208,ANONYMIZED,Malware,suspicious,false_positive,2023-08-07T19:37:36.746484Z,2023-08-07T19:37:36.411000Z,2023-08-07T19:57:47.956096Z,[1],1,static,,ANONYMIZED,On-Write Static AI - Suspicious
11920,1929031909687174244,ANONYMIZED,Malware,malicious,true_positive,2024-04-15T13:22:03.468742Z,2024-04-15T13:22:00.343000Z,2024-04-15T17:19:13.960867Z,"[1, 31, 32, 29, 33, 15, 12]",1 12 15 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
5857,1797001436052296084,ANONYMIZED,Malware,suspicious,false_positive,2023-10-16T09:21:04.507635Z,2023-10-16T09:21:03.631000Z,2023-10-16T10:42:07.253778Z,"[145, 126, 359, 768, 114, 62, 427, 153, 269, 674, 171]",62 114 126 145 153 171 269 359 427 674 768,dynamic,,ANONYMIZED,"Documents, Scripts"
1107,1644683639717824752,ANONYMIZED,Infostealer,suspicious,false_positive,2023-03-20T05:32:48.225694Z,2023-03-20T05:32:44.657000Z,2023-03-20T05:46:02.611181Z,"[796, 799, 121, 427, 674]",121 427 674 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
8826,1879483739523698114,ANONYMIZED,Malware,malicious,true_positive,2024-02-07T04:38:41.308834Z,2024-02-07T04:38:40.409000Z,2024-02-07T04:40:05.975685Z,"[1, 31, 29, 33, 21, 18, 12]",1 12 18 21 29 31 33,static,quarantine,ANONYMIZED,On-Write Static AI
6427,1827135589319225701,ANONYMIZED,Malware,suspicious,false_positive,2023-11-26T23:12:15.514057Z,2023-11-26T23:12:07.044120Z,2023-11-26T23:14:04.016665Z,[243],243,dynamic,,ANONYMIZED,Application Control
7420,1855812241454592750,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T12:47:38.843288Z,2024-01-05T12:39:38.654000Z,2024-01-05T13:15:30.665551Z,"[1, 31, 30, 29, 33, 12]",1 12 29 30 31 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
11833,1926770964834786789,ANONYMIZED,Malware,suspicious,true_positive,2024-04-12T10:29:57.844772Z,2024-04-12T05:54:41.394000Z,2024-04-12T13:25:08.383380Z,"[1, 31, 32, 29, 33, 12]",1 12 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
1427,1650008833147536525,ANONYMIZED,Malware,suspicious,false_positive,2023-03-27T13:53:00.751136Z,2023-03-27T13:53:00.635000Z,2023-03-27T15:01:24.272969Z,"[293, 43]",43 293,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
9734,1894997622591434474,ANONYMIZED,Ransomware,suspicious,false_positive,2024-02-28T14:22:00.287421Z,2024-02-28T14:21:58.883000Z,2024-02-28T15:10:22.077773Z,"[1079, 1348, 109, 641, 1273, 427, 305, 437, 43]",43 109 305 427 437 641 1079 1273 1348,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
2444,1682460447507963118,ANONYMIZED,Rootkit,suspicious,false_positive,2023-05-11T08:28:34.642091Z,2023-05-11T08:28:33.330958Z,2023-05-11T08:44:59.842336Z,[937],937,dynamic,,ANONYMIZED,Application Control
7766,1860561664065685056,ANONYMIZED,Malware,suspicious,false_positive,2024-01-12T02:03:54.128232Z,2024-01-12T02:03:51.691000Z,2024-01-12T02:14:57.449534Z,"[796, 427, 171, 674]",171 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
7012,1853382259885066654,ANONYMIZED,Malware,suspicious,false_positive,2024-01-02T04:19:42.462858Z,2024-01-02T04:19:41.576000Z,2024-01-02T04:46:50.108860Z,"[1, 7, 2]",1 2 7,static,,ANONYMIZED,On-Write Static AI - Suspicious
10827,1918531897131666648,ANONYMIZED,Malware,malicious,true_positive,2024-04-01T01:40:24.435939Z,2024-04-01T01:40:23.518000Z,2024-04-01T02:03:41.815832Z,"[29, 24, 23, 12]",12 23 24 29,static,quarantine,ANONYMIZED,On-Write Static AI
8777,1878634364911938347,ANONYMIZED,Malware,malicious,true_positive,2024-02-06T00:31:07.964632Z,2024-02-06T00:31:05.223000Z,2024-02-06T00:43:45.734799Z,"[1, 31, 32, 29, 33, 12]",1 12 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
3014,1693740561512943881,ANONYMIZED,Malware,suspicious,false_positive,2023-05-26T22:00:09.021083Z,2023-05-26T22:00:07.617000Z,2023-05-26T22:35:06.870345Z,"[427, 266, 114, 62, 674, 171, 137]",62 114 137 171 266 427 674,dynamic,,ANONYMIZED,"Documents, Scripts"
10483,1914222746191270464,ANONYMIZED,Malware,suspicious,false_positive,2024-03-26T02:58:53.614831Z,2024-03-26T02:58:53.251000Z,2024-03-26T03:04:42.300849Z,"[171, 437, 1273, 796, 427]",171 427 437 796 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
1372,1647807230216773609,ANONYMIZED,Malware,suspicious,false_positive,2023-03-24T12:58:49.227966Z,2023-03-24T12:58:43.909000Z,2023-03-24T13:38:23.975064Z,"[121, 796, 427, 171, 674]",121 171 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
7828,1862895525019619207,ANONYMIZED,Malware,suspicious,false_positive,2024-01-15T07:20:52.039393Z,2024-01-15T07:20:05.492000Z,2024-01-15T08:25:19.410865Z,"[126, 169, 266, 313, 312, 153, 783, 784, 90, 154, 113, 294, 121, 501, 293, 427]",90 113 121 126 153 154 169 266 293 294 312 313 427 501 783 784,dynamic,,ANONYMIZED,Anti Exploitation / Fileless
1328,1647598544030279792,ANONYMIZED,Malware,suspicious,true_positive,2023-03-24T06:04:11.890582Z,2023-03-24T06:04:08.924000Z,2023-03-24T06:20:18.868702Z,"[24, 6, 5]",5 6 24,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
9942,1904265680151769841,ANONYMIZED,Malware,malicious,true_positive,2024-03-12T09:15:58.839528Z,2024-03-12T09:15:26.598000Z,2024-03-12T10:22:19.766014Z,"[1, 31, 29, 33, 12]",1 12 29 31 33,static,quarantine,ANONYMIZED,On-Write Static AI
5407,1778907218411903092,ANONYMIZED,Malware,suspicious,false_positive,2023-09-21T10:11:05.681722Z,2023-09-21T10:11:03.668458Z,2023-09-21T10:35:53.141265Z,"[243, 584]",243 584,dynamic,,ANONYMIZED,Application Control
1208,1645534130228172323,ANONYMIZED,Malware,suspicious,false_positive,2023-03-21T09:42:34.594409Z,2023-03-21T09:42:27.980000Z,2023-03-21T09:59:12.203870Z,"[49, 359, 171, 674, 269]",49 171 269 359 674,dynamic,,ANONYMIZED,"Documents, Scripts"
2477,1683263333679807456,ANONYMIZED,Malware,suspicious,false_positive,2023-05-12T11:03:46.133426Z,2023-05-12T11:03:45.972000Z,2023-05-12T11:13:05.359627Z,"[796, 171, 121, 427, 674]",121 171 427 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
1393,1648447895498718565,ANONYMIZED,Malware,suspicious,false_positive,2023-03-25T10:11:42.482266Z,2023-03-23T09:29:21.160000Z,2023-03-25T11:21:37.729031Z,"[32, 29, 33, 12, 10, 6]",6 10 12 29 32 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
4604,1739011609828901619,ANONYMIZED,Malware,suspicious,true_positive,2023-07-28T09:05:38.528288Z,2023-07-28T09:05:37.879000Z,2023-07-28T09:16:47.974441Z,"[41, 32, 29, 33]",29 32 33 41,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
6118,1812132920764517341,ANONYMIZED,Malware,suspicious,false_positive,2023-11-06T06:24:38.051685Z,2023-11-06T06:24:36.968000Z,2023-11-06T07:07:49.234315Z,"[145, 951, 359, 769, 114, 62, 427, 153, 269, 674, 171]",62 114 145 153 171 269 359 427 674 769 951,dynamic,,ANONYMIZED,"Documents, Scripts"
6914,1849860304427484080,ANONYMIZED,Malware,malicious,true_positive,2023-12-28T07:42:12.657169Z,2023-12-28T07:42:05.313000Z,2023-12-28T07:43:42.159019Z,"[1, 24, 15, 7, 6, 2]",1 2 6 7 15 24,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
3785,1715076881739298873,ANONYMIZED,Malware,suspicious,false_positive,2023-06-25T08:31:36.595983Z,2023-06-25T08:31:36.180000Z,2023-06-25T10:24:57.288828Z,"[894, 783, 784, 88, 153, 154, 1161, 121]",88 121 153 154 783 784 894 1161,dynamic,,ANONYMIZED,Behavioral AI
7213,1855051035290707909,ANONYMIZED,Malware,malicious,true_positive,2024-01-04T11:35:15.994942Z,2024-01-04T11:35:15.483000Z,2024-01-04T12:49:49.380265Z,"[1, 31, 33, 24, 23, 6]",1 6 23 24 31 33,static,quarantine,ANONYMIZED,On-Write Static AI
7914,1865140211910225810,ANONYMIZED,Malware,suspicious,false_positive,2024-01-18T09:40:39.567257Z,2024-01-18T09:40:32.808000Z,2024-01-18T10:54:25.334570Z,"[951, 674, 138, 171, 114, 796, 427, 1273]",114 138 171 427 674 796 951 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
3576,1709318711082155881,ANONYMIZED,Virus,suspicious,true_positive,2023-06-17T09:51:09.162815Z,2023-06-17T09:51:09.148509Z,2023-06-17T11:42:02.563514Z,"[24, 23, 15, 12]",12 15 23 24,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
11236,1919753955545128704,ANONYMIZED,Malware,suspicious,false_positive,2024-04-02T18:08:25.151286Z,2024-04-02T18:08:24.560000Z,2024-04-02T19:09:23.024062Z,"[122, 1273, 796, 427, 104, 171, 674]",104 122 171 427 674 796 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
5478,1781974261496043205,ANONYMIZED,Malware,suspicious,false_positive,2023-09-25T15:44:45.708543Z,2023-09-25T15:44:45.386728Z,2023-09-25T17:03:41.279948Z,[243],243,dynamic,,ANONYMIZED,Application Control
