,threatInfo.threatId,threatInfo.threatName,threatInfo.classification,threatInfo.confidenceLevel,threatInfo.analystVerdict,threatInfo.createdAt,threatInfo.identifiedAt,threatInfo.updatedAt,indicatorList,indicatorListString,threatInfo.detectionType,action,threatInfo.sha1,engine
8855,1879808502046291323,ANONYMIZED,Packed,malicious,true_positive,2024-02-07T15:23:56.019307Z,2024-02-07T15:23:54.958000Z,2024-02-07T18:49:43.376176Z,[41],41,static,quarantine,ANONYMIZED,On-Write Static AI
9893,1903562591085810203,ANONYMIZED,PUA,suspicious,false_positive,2024-03-11T09:59:04.091705Z,2024-03-11T09:53:31.867000Z,2024-03-11T11:26:31.940099Z,[1973],1973,static,,ANONYMIZED,On-Write Static AI - Suspicious
2692,1687361020793651472,ANONYMIZED,Malware,suspicious,false_positive,2023-05-18T02:45:08.503547Z,2023-05-18T02:45:07.935000Z,2023-05-18T03:08:16.962324Z,"[171, 796, 799, 121, 427]",121 171 427 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
4048,1722461236000533120,ANONYMIZED,Malware,suspicious,true_positive,2023-07-05T13:03:00.221250Z,2023-07-05T13:02:59.894000Z,2023-07-10T05:35:48.645996Z,"[41, 32, 29, 33]",29 32 33 41,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
3441,1703733449593502741,ANONYMIZED,Malware,suspicious,false_positive,2023-06-09T16:54:14.108957Z,2023-06-09T16:54:13.607000Z,2023-06-09T17:02:49.318677Z,"[1, 33, 24, 6]",1 6 24 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
6489,1829781107842775294,ANONYMIZED,Malware,suspicious,false_positive,2023-11-30T14:48:25.897916Z,2023-11-30T14:42:34.489000Z,2023-11-30T16:46:41.152068Z,"[145, 734, 201, 126, 266, 197, 43, 198, 151, 141, 427]",43 126 141 145 151 197 198 201 266 427 734,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
3989,1722406193392401709,ANONYMIZED,Malware,suspicious,true_positive,2023-07-05T11:13:38.631244Z,2023-07-05T11:13:38.588000Z,2023-07-07T13:55:42.356408Z,"[41, 32, 33]",32 33 41,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
1921,1667799777250028055,ANONYMIZED,Generic.Heuristic,suspicious,false_positive,2023-04-21T03:00:26.557954Z,2023-04-21T03:00:26.530000Z,2023-04-21T03:26:23.218601Z,"[1, 24, 12, 6]",1 6 12 24,static,,ANONYMIZED,On-Write Static AI - Suspicious
11875,1928207125020782370,ANONYMIZED,Virus,malicious,true_positive,2024-04-14T10:03:21.478821Z,2024-04-14T10:03:20.489000Z,2024-04-14T10:25:31.559056Z,"[32, 33]",32 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
3973,1721976564888711522,ANONYMIZED,Malware,suspicious,false_positive,2023-07-04T21:00:02.921898Z,2023-07-04T21:00:02.174000Z,2023-07-04T21:04:13.901136Z,"[1, 31, 30, 32, 29, 33, 18, 12, 16]",1 12 16 18 29 30 31 32 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
8095,1868023536589861085,ANONYMIZED,Malware,malicious,true_positive,2024-01-22T09:09:18.660065Z,2024-01-22T09:09:16.351000Z,2024-01-22T10:42:10.100266Z,"[1, 29, 24, 6]",1 6 24 29,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
1078,1643581342921971836,ANONYMIZED,PUA,suspicious,true_positive,2023-03-18T17:02:44.208841Z,2023-03-18T17:02:44.198792Z,2023-03-19T07:04:38.694067Z,"[29, 12]",12 29,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
